,nickname,text,score,like,dislike,time,watch_movie
0,최삼식(dubi****),단순히 좀비영화로만 보면 안될 것 같습니다.  사람은 잔인하고 사람보다 무서운 동물은 없다. 좀 심오한 의미가 담겨있는 영화입니다.  월드워z나 28주후와는 전혀 다른 영화임. 명작,10,415,44,2013-07-16 01:02:00,0
1,검은양말(dray****),내 생애 최고의 좀비영화. 영화음악은 정말 최고임.,10,292,36,2013-06-26 16:52:00,0
2,superb(lsy7****),이 영화의 가장 마음에 드는건 영화 자체에 깔려있는 어두운 느낌. 이 영화에서 좀비는  인간의 악함을 나타내기 위한 수단으로 쓰였다는게 정말 마음에 든다.,9,250,17,2012-12-30 17:51:00,0
3,사과(rla9****),이영화가 7점대라니 말도안된다. 적어도 8.5는 넘어야될 수작임. 안보신분들은 보셈. 괜히 이 시리즈 가 생긴게 아님.,10,222,28,2013-11-13 23:39:00,0
4,atoz****,이때 까지 나왔던 좀비영화중 최고의 걸작,10,201,26,2013-07-06 22:25:00,0
5,소낭구(ksta****),월드워z보다 낫습니다,9,206,75,2013-06-30 00:33:00,0
6,tnst****,저예산치고 너무 모든것이 너무나 절묘한영화,10,143,16,2013-02-03 02:16:00,0
7,0soo****,좀비영화중 28일후 좀비가 가장 기분나쁘고 소름끼치고 무섭다.,10,135,14,2013-02-02 04:26:00,0
8,산토키(chur****),28일 전과 후는 다를 바 없다. 인간이 존재하는 한..,8,123,9,2013-08-12 19:30:00,0
9,sh87****,부산행보다 15년 먼저 만들어졌고 150배는 완성도가 높은 좀비 영화계의 바이블,10,122,22,2016-07-21 02:10:00,0
10,부봉(boob****),2020년 오신분 손들어,10,97,3,2020-02-25 00:15:00,0
11,아즈라엘(real****),28일 시리즈는 좀비물이 아님 죽은 뒤 바이러스의 힘으로 소생하는 좀비가 아니라 분노바이러스에 의해 감염되어 폭력성이 강화되고 지적능력이 사라진 감염된 사람들임. 그래서 감염자들이 굶어죽을때까지 영국봉쇄하는 것임. ...,10,94,12,2013-03-25 06:42:00,0
12,훈일씨(whgn****),최고입니다.,10,72,9,2013-07-10 09:01:00,0
13,fj11****,좀비피해갔는데 더 나쁜놈들이있고.....원초적공포....최고의영화,9,65,3,2013-09-23 21:05:00,0
14,bark****,그냥 지나치려다 평점이 너무 낮아서 씁니다 절대 7점대 영화는 아님 이거랑 새벽의 저주는 좀비 영화를 부흥시켰다해도 과언이 아님,10,67,7,2014-10-18 12:43:00,0
15,조센스(heyb****),좀비물 중엔 단연 최고가 아닐까 생각한다...왜 28달후는 아직 안나오는가!,10,70,11,2013-06-28 22:25:00,0
16,스카이콩콩(try_****),뛰는 좀비를 최초로 등장시킨 기념비적인 영화. 지금이야 세기말적인 분위기연출하는 영화많이 나오지만 28일후 개봉당시 황폐한 런던에서 뛰어다니는 무시무시한 좀비들로부터 도망치던 모습은 잊을수가 없다. 28주후는 별로....,9,56,2,2013-06-24 13:33:00,0
17,rsk4****,감염되기 전이든 후든 인간이 인간을 죽이고 있다는 사실이 변치않음을 새삼스레 깨닫게 해준 영화. 좀비보다 인간의 추악한 면이 더 증오스럽고 두렵고 무섭다. 초반부터 임팩트가 있지만 후반부가 단연코 압권이다.,9,42,2,2015-02-03 20:07:00,0
18,hjso****,월드워 Z를 보고나서 이 영화를 다시 볼 수 밖에 없었다. 역시 최고의 좀비 영화는 28일 후다...,9,40,2,2013-07-08 13:14:00,0
19,토끼깡(ekdd****),내인생을 좀비 덕으로 바꿔줌,10,37,3,2013-07-07 16:57:00,0
20,pink(miso****),긴장감 있고 재밌게본거 같아요,9,41,7,2013-07-16 00:56:00,0
21,미식가JM(zxvt****),보면서 워킹데드가 이 영화를 많이 참고했다는걸 느낄 수 있었다. 사람의 잔임함을 일깨우는 잘 만든 좀비영화고 특히 전속력으로 뛰면서 위협하는 좀비와 맞물리는 배경음악이 영화의 공포와 긴장을 배가시킨다,8,33,1,2016-07-03 06:06:00,0
22,ㅇㅇ(dmsg****),좀비영화의 교과서같은 영화,10,34,2,2013-08-31 04:10:00,0
23,우쭈쭈(risi****),좀비영화의 양대산맥,10,36,6,2013-07-12 14:29:00,0
24,줄리(godq****),좀비영화중 유일하게 소장가치가 있는 명작. 진짜 다시보면 볼수록 여운이 찐하게 남는 영화다.,10,26,1,2013-07-19 03:53:00,0
25,rain****,느림보 좀비에서 빠른좀비로 내용있는 좀비를 본영화는 이거다 28일후 28주후 모두다 진짜 내용있고 재미있다 2003년도작이어도 좀비영화는 아직까지도 더좋은걸못봤다..,10,25,1,2014-08-22 12:36:00,0
26,행운의남신(king****),초반부 긴장을 늦출수 없엇는데  군대와 만난뒤 이상하게 흘러가는것 같아 이상햇다. (닥터 크레인박사)는 ㅋㅋㅋㅋ 순둥이에서 갑자기 싸이코패스로 돌변 ㅋㅋㅋㅋㅋ 뜬금포 작렬 ㅋㅋㅋㅋㅋㅋㅋ 하지만 나름 잼썻기때문에 10...,10,43,21,2013-01-04 04:09:00,0
27,해머(dspi****),뛰는 좀비의 시초라는 명성만 알고 보았는데 생각한 것과 많이 다른 영화였다. 휴머니즘도 있는데다 현실적인 불안감을 느리지만 집요하게 잘 묘사하며 캐릭터를 쌓아간다. 또 여성캐릭터들이 장식으로만 존재하지도 않는다.  ...,8,22,3,2015-07-04 10:09:00,0
28,깜씨(leh2****),와 재밋네요 28주후 28개월후 28주년후 28광년후 등 나왔으면 좋겟네요 28주후는 나왔고 28개월도 나온데요,10,29,10,2013-06-16 19:46:00,0
29,레츠교요(hkn2****),말할 필요가 없는 명작,10,23,6,2013-08-08 17:17:00,0
30,쿨백(cool****),요즘 중국산바이러스땜에 다시 봤다.다시봐도 재밌네,10,14,0,2020-01-27 21:27:00,0
31,박세리(rose****),재미있었음..ㅋㅋ좀비물인데도 불구하고 영국 아름다운 풍경도 볼 수 있어서 좋았다,10,15,1,2016-04-20 00:03:00,0
32,gshh****,현실에서 좀비들이 저렇게 미친듣이 날뛴다는걸 생각하면 절로 소름이.. ㄷㄷ,9,15,1,2012-05-31 16:00:00,0
33,오리지날찰떡(jsb0****),OST나오면그냥뛰어야될거같다;,9,11,0,2018-09-25 00:57:00,0
34,푸욜(whee****),이정도 자본으로 이정도 재미를 만들어냈다면... 명작은 아니어도 수작이상임에는 분명하다. 다만 의미를 찾고자하는 분들에게는 이정도 메세지를 담은 영화는 어마어마하게 많다는걸 좀 알리고 싶다. 이 영화가 메세지 강한 ...,8,16,5,2015-02-08 11:14:00,0
35,elkd****,"10점까지는 아니나, 평점이 너무낮아서 10점ㅠㅠ 적어도 8점은 넘어야합니다. 수작!!",10,10,0,2016-07-17 22:13:00,0
36,smsm112(liqu****),"좀비 영화중 최고. 음악, 연출, 작품성... 최고 ~ 특히 음악. 좀비 방송에서 좀비 음악 관련은 대부분 이영화 OST 인용하죠 ㅋ",10,11,1,2015-06-21 12:45:00,0
37,rkfr****,이건 9점대가 나와야 정상인 영화다.,10,13,3,2016-05-31 21:40:00,0
38,tar(tarc****),좀비보다 무서운 건 사회안전망이 무너졌을 때 보이는 인간의 야만성이다. 후반부에 군인들이 주인공들을 라디오 방송으로 유인했던 이유를 생각하면 정말 끔찍 그 자체였다.,10,10,1,2019-07-13 10:37:00,0
39,해와달님(hang****),B급 좀비물을 A급 영화로만들고 뛰기 시작한 좀비를 만든 기념비적인 작품인데 평점이 왜이럼,10,8,0,2017-09-08 03:38:00,0
40,jdh5****,아주 긴박한 상황에서도 性욕못참는 군인들,8,8,0,2012-05-17 13:17:00,0
41,Victor Delacoix(dela****),뭔 좀비영화가 OST가 이리 좋다냐,7,9,1,2015-11-05 17:21:00,0
42,123(alpa****),현재 우리나라의모습 재앙...,10,15,7,2020-02-24 23:21:00,0
43,Redmoon8891(llh0****),갈때까지 간 세상에서 따뜻함과 냉혹함을 동시에 볼 수 있는 영화.,6,7,0,2019-11-09 23:37:00,0
44,savi****,내가본 좀비영화중에 가장 스릴있고 잼있엇음!!,10,7,0,2013-08-10 02:59:00,0
45,토우(hscv****),우한폐렴에 걸린 현실세계를 보여주는 영화,10,8,1,2020-02-21 21:37:00,0
46,오시나(sosi****),이 영화에서 나오는 좀비는 분명 공포스러운 존재입니다. 그리고 인간간의 갈등을 불러일으키는 주요대상이죠. 지만 역할은 거기까지뿐입니다. 언제나 비극적인 파괴를 불러오는 결정을 하는것은 인간입니다. 정말 무서우것은 좀...,10,8,1,2014-07-20 00:13:00,0
47,독투(dok2****),영화 초반에 킬리언 머피 자지가 자꾸 나와서 개이득인 부분,6,10,3,2018-04-26 22:45:00,0
48,hrns****,좀비영화를 가장한 인간의 추악한 본능을 알려주는 영화,9,6,0,2017-10-18 04:14:00,0
49,그릿츠(homw****),대니 보일은 천재야....,10,6,0,2016-04-28 14:39:00,0
50,전투(bers****),오락성에 작품성까지 가진 가장 완벽한 좀비영화,10,6,0,2013-09-09 06:13:00,0
51,Karl(osh9****),28월 후가 나오지 않는게 너무 안타깝다..,8,7,1,2020-01-10 02:11:00,0
52,아이원츄(akid****),좀비영화의 양대산맥인데 평점 왜 이럼.... 킬리언 머피 사랑합니다.,10,7,1,2016-01-23 02:50:00,0
53,해밀(blue****),28주후 먼저 보고 이 전편을 봤는데 정말 수작이구나 28주후는 영 아니야,10,7,1,2013-08-04 18:37:00,0
54,작업콜(love****),좀비영화의 지존,10,7,1,2013-06-23 19:54:00,0
55,blis****,쇼핑할때 음악좋고 전체적으로 음악이 좋음.  감독이 슬럼독밀리어네어 역시연출  주인공은 인셉션에서  타겟이네  .     좀비물중에서 제일  재밌음.,9,8,2,2013-02-18 01:54:00,0
56,꾸이(kkui****),볼륨조절하기 제일 힘들었던 영화,10,5,0,2020-04-06 18:57:00,0
57,이종원(tax2****),좀비영화의 바이블이라고 감히 단언합니다.,10,5,0,2020-01-26 13:38:00,0
58,둥둥이(sslo****),평점 더 높아야 하는거 아닙니까!!,10,5,0,2019-10-31 03:13:00,0
59,지나가던행인(hw50****),좀비가 아니라 사람이 무서운 영화였다.,7,5,0,2019-08-18 20:37:00,0
