,nickname,text,score,like,dislike,time,watch_movie
0,runs****,조조보고옴. 브래드 피트는 나이가 들어도 멋지다. 스케일과 비교적 깔끔한 전개만으로도 좀비영화중 수작으로 남을듯. 근데 초반 평점이;;; 은위가 흥행1위하는 나라라서 그런가ㅋㅋㅋㅋ 헐리우드영화에 대한 반감쩌네. 우리...,10,1859,236,2013-06-20 12:46:00,0
1,여긴어디(pdk4****),진심 두번 빡친다 마누라가 전화걸때 이슬람그년 마이크 잡을때 아오!,10,1570,94,2013-06-28 01:07:00,0
2,웃는중(nsju****),은위 빠돌이들 별테러 방지용 댓글,10,1138,128,2013-06-20 10:07:00,0
3,해롱2(qkrq****),아오 노래부르지말라고 노래부르지마 OO들아,10,1006,25,2013-06-24 23:38:00,0
4,whan97(cmcm****),김수현이 브래드피트보다 연기 잘한다고 개소리찌껄이는셋기는뭐냐  OO인가,10,936,65,2013-06-20 17:04:00,0
5,마야블루(lhm0****),다른것보다 제일 무서웠던건 북한이였다....영화보시면 느끼실듯,8,764,43,2013-06-21 04:15:00,0
6,굳다운로더(lwj_****),"머리통 도끼로 후려치고 피튀는 B급 좀비영화를 기대하지 마시고, 여기 A급 좀비영화를 맛 보세요.",10,763,44,2013-06-21 01:59:00,0
7,달달한오렌지(dogo****),다 필요없고 마이크 잡고 노래 부르던 여자가 제일 짜증났다,10,631,20,2013-07-28 22:28:00,0
8,rlgh****,은밀하게위대하게보다재미없다는새끼들은대채뇌가있는거냐?ㅋㅋㅋ,9,607,61,2013-06-20 16:45:00,0
9,뻐큐머겅(oney****),좀비가 벽넘어올때 개지린다 팬티갈아입고옴,10,553,29,2013-06-22 18:43:00,0
10,cool****,오랜만에 등장한 볼만한 좀비 영화. 다만 한국을 등장시키는 부분은 볏짚 쌓인 헛간 같은 거 말고 제발 좀 제대로 된 한국의 모습을 보여줄 수는 없나 싶었다. 요즘 저쪽 영화 소재로 만만한게 한국과 북한인듯 한데 늘 ...,8,486,18,2013-06-24 21:07:00,0
11,우희희희(woog****),은밀 하게 위대하게  작작 영화관좀  잡아라다양한 영화를  볼 권리가 있다  소비자들은,10,428,28,2013-06-20 10:35:00,0
12,Kashiwazaki(ehdg****),이스라엘에서 노래부르던 OO끼 뭐냐,10,372,13,2013-06-21 22:08:00,0
13,흘려듣기(jssh****),이게영화,10,364,34,2013-06-20 07:37:00,0
14,아더(arth****),빵형한테 함부로 전화하지 마세요.,9,330,4,2013-07-02 11:37:00,0
15,세렌티아(cnf6****),정확하게 말할수있는건 은위보다는 200퍼센트 낫다는것이다. 은위따위의 영화가 이영화보다 나을 이유가없다.,10,335,20,2013-06-21 11:33:00,0
16,비둘기(jsfp****),좀비영화들은 대부분 소리 꽥꽥 지르고 잔인하게 물어뜯기만 해서 잘 안봤었는데 여태 본 좀비 영화중에 제일 재밌게 봄. 엔딩이 심심하긴 했지만 확실히 영화 처음부터 끝까지 매끄럽고 몰입도도 최강. 다른 사람에게 꼭 추...,10,313,13,2013-06-21 14:27:00,0
17,블러디헬(ljun****),이 영화에 주목해야 할점은 기존 좀비영화는 이미 바이러스가 창궐이 끝났으며 생존자들의 이야기를 풀어가면서 그냥 총만 갈기는영화 였다면 월드워z는 실제 바이러스가 어떻게 창궐되며 각 나라의 대처방향과 상황등 그야말로 ...,10,276,7,2013-06-23 20:33:00,0
18,미친광대(neve****),스케일은 화려함,10,288,19,2013-06-20 16:45:00,0
19,아리용(woop****),진짜 이런일이 생기면 난 맘편히 좀비할란다,6,302,45,2013-07-20 21:15:00,0
20,정영신(joko****),기존에는 평범했던 좀비영화를 유명배우가 출연하면서 스케일도 크게 만들고 보는내내 심장도 쫄깃쫄깃하고 재밌음. 무조건적으로 까는 애들은 한국영화 알바들임.,10,272,18,2013-06-21 01:10:00,0
21,닭(sjh1****),이스라엘 벽기어오를때가 압권이더라,8,258,5,2013-07-07 09:47:00,0
22,령(yjef****),좀비역을 맡은 배우들의 연기가 돋보였던 영화,10,250,5,2013-06-25 12:43:00,0
23,쩌룡이(best****),보다가 깜짝 놀라서  콜라 옆에사람한테  뿌림ㅋㅋㅋㅋ근데 그옆에사람 소리지름ㅋㅋㅋㅋㅋㅋㅋㅋ,10,311,67,2013-06-26 18:52:00,0
24,소르지(soru****),이스라엘에서 마이크뺐어서 노래부르던사람.... 확씨......,7,203,7,2013-07-23 20:23:00,0
25,스마일ing(75ju****),배려심 넘치는 따뜻한 마음씨를 가진 좀비의 스토리. 아픈 사람은 건드리지 않는 훌륭한 좀비가 됩시다!,5,280,87,2013-06-21 09:37:00,0
26,블룸필드(qmff****),졷도재미없는 한국영화가 김수현때문에 알바들 존.나많네 이거 진짜재밌습니다. 120분이라는 긴시간도 엄청짧았구요..  스릴감 대박입니다...,10,194,21,2013-06-21 01:05:00,0
27,hyoy****,이빨딱딱좀비랑 무궁화꽃이 피었습니다 좀비때매 웃엇다..,7,190,24,2013-06-21 01:02:00,0
28,겸둥이(1oo2****),개재밋는데 졸작이라고하는애들은모지ㅡㅡ이게졸작이면 다른영화는뭐여 시간가는줄모르고봣다 이정도면 훌륭함 잔인한장면도 그닥 안나오는데 몰입도쩐다 평점처음다는데 정말재밌게봤다난 2013년도 영화중최고임 돈안아까움,10,192,29,2013-06-21 07:37:00,0
29,KiDs(kids****),"내가 처음 제대로 본 좀비 영화인데, 진짜 재밌었다. 두 시간 동안 계속 긴장하다 풀리다 반복하다가 힘이 쭉 빠짐. 프롤로그는 소름이돋고 테마 음악 섬뜩하게 아름답다. 브래드 피트는 무슨 머릴 해도 멋있다. 결말이 ...",10,177,15,2013-06-21 06:17:00,0
30,산체스날(kimm****),볼만은 한데 왜 한국의사가 바이러스 감염된 사람 치료할때 마구간같은데에서 치료를 하는건지.. 감독은 한국이 아프리카에 있는지 아는 듯,8,143,3,2016-07-16 18:26:00,0
31,abc(bvtc****),좀비영화의 한 획을 그은 새로운 혁명.,10,150,11,2013-06-22 16:16:00,0
32,neob****,현시대에 나온 좀비영화중에 명작에 꼽힐 수 있는 수준의 영화라 생각됩니다. 특히 기존의 좀비들은 사람을 먹는 종류들이였지만 월드워z는 바이러스라는 점에서 현실성이 더 높은거 같아 흥미로웠으며 비행기씬까지는 정말 최고...,9,134,10,2013-06-22 13:35:00,0
