형태소,품사,분류,카운트
!,Punctuation,1,7
!,Punctuation,2,1
!,Punctuation,3,1
!,Punctuation,6,1
!,Punctuation,7,8
!,Punctuation,8,18
!,Punctuation,9,18
!,Punctuation,10,68
!!,Punctuation,1,1
!!,Punctuation,3,1
!!,Punctuation,4,1
!!,Punctuation,7,1
!!,Punctuation,8,7
!!,Punctuation,9,4
!!,Punctuation,10,32
!!!,Punctuation,1,1
!!!,Punctuation,4,1
!!!,Punctuation,8,2
!!!,Punctuation,9,3
!!!,Punctuation,10,7
!!!!,Punctuation,10,3
!!!!!,Punctuation,10,1
!!!!!!,Punctuation,1,1
!!!!!!,Punctuation,10,1
!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!,Punctuation,9,1
!.,Punctuation,10,1
!...,Punctuation,1,1
!?,Punctuation,5,1
!~,Punctuation,10,1
"""",Punctuation,1,2
"""",Punctuation,5,2
"""",Punctuation,7,1
"""",Punctuation,10,4
"""...",Punctuation,5,1
',Punctuation,2,2
',Punctuation,4,4
',Punctuation,7,7
',Punctuation,8,4
',Punctuation,9,2
',Punctuation,10,11
"',",Punctuation,8,1
'-',Punctuation,10,1
'.,Punctuation,8,1
(,Punctuation,3,2
(,Punctuation,6,1
(,Punctuation,7,1
(,Punctuation,9,1
(,Punctuation,10,9
(?),Punctuation,9,1
(?),Punctuation,10,1
),Punctuation,6,1
),Punctuation,7,1
),Punctuation,9,1
),Punctuation,10,6
"),~",Punctuation,10,1
)~,Punctuation,10,1
***),Punctuation,3,2
*-_-*,Punctuation,10,1
*.*,Punctuation,10,1
*^-^*,Punctuation,10,1
+,Punctuation,8,1
+,Punctuation,10,6
+_+,Punctuation,8,1
",",Punctuation,1,13
",",Punctuation,2,4
",",Punctuation,3,2
",",Punctuation,4,5
",",Punctuation,5,18
",",Punctuation,6,8
",",Punctuation,7,27
",",Punctuation,8,41
",",Punctuation,9,19
",",Punctuation,10,96
",,",Punctuation,1,1
",,",Punctuation,2,1
",,",Punctuation,4,2
",,",Punctuation,7,2
",,",Punctuation,9,4
",,",Punctuation,10,8
",,,",Punctuation,3,1
",,,",Punctuation,7,1
",,,",Punctuation,8,2
",,,",Punctuation,10,7
",,,,",Punctuation,7,1
",,,,,,,,,,,,,,",Punctuation,8,1
",.",Punctuation,10,1
",.,.,.,.,.",Punctuation,8,1
-,Punctuation,2,1
-,Punctuation,4,1
-,Punctuation,6,2
-,Punctuation,7,3
-,Punctuation,8,2
-,Punctuation,10,7
--,Punctuation,10,1
--;,Punctuation,1,1
--;;,Punctuation,2,1
-.,Punctuation,10,1
-;;,Punctuation,10,2
->,Punctuation,7,1
-_,Punctuation,8,1
-_-,Punctuation,1,1
-_-,Punctuation,5,2
-_-,Punctuation,9,2
-_-,Punctuation,10,1
-_-;,Punctuation,10,1
-_-;;,Punctuation,3,1
-_-;;,Punctuation,10,1
.,Punctuation,1,49
.,Punctuation,2,10
.,Punctuation,3,9
.,Punctuation,4,24
.,Punctuation,5,30
