형태소,품사,분류,카운트
!,Punctuation,1,141
!,Punctuation,2,115
!,Punctuation,3,12
!,Punctuation,4,52
!,Punctuation,5,25
!,Punctuation,6,71
!,Punctuation,7,36
!,Punctuation,8,231
!,Punctuation,9,82
!,Punctuation,10,775
!!,Punctuation,1,53
!!,Punctuation,2,39
!!,Punctuation,3,8
!!,Punctuation,4,23
!!,Punctuation,5,10
!!,Punctuation,6,15
!!,Punctuation,7,11
!!,Punctuation,8,90
!!,Punctuation,9,42
!!,Punctuation,10,470
!!!,Punctuation,1,25
!!!,Punctuation,2,22
!!!,Punctuation,3,3
!!!,Punctuation,4,10
!!!,Punctuation,5,5
!!!,Punctuation,6,10
!!!,Punctuation,7,3
!!!,Punctuation,8,25
!!!,Punctuation,9,15
!!!,Punctuation,10,192
!!!!,Punctuation,1,23
!!!!,Punctuation,2,14
!!!!,Punctuation,3,3
!!!!,Punctuation,4,5
!!!!,Punctuation,5,1
!!!!,Punctuation,6,3
!!!!,Punctuation,7,3
!!!!,Punctuation,8,13
!!!!,Punctuation,9,3
!!!!,Punctuation,10,94
!!!!',Punctuation,10,1
!!!!...,Punctuation,1,1
!!!!:-),Punctuation,8,1
!!!!^^,Punctuation,10,1
!!!!~~~~,Punctuation,8,1
!!!+++,Punctuation,10,1
!!!.,Punctuation,2,1
!!!........,Punctuation,1,1
!!!???,Punctuation,1,1
!!!^^,Punctuation,8,1
!!!^^,Punctuation,10,1
!!!^^~~~,Punctuation,10,1
"!!""",Punctuation,4,1
"!!""",Punctuation,6,1
"!!""",Punctuation,10,1
!!(,Punctuation,10,3
!!),Punctuation,1,1
"!!,,",Punctuation,8,1
!!.!.!.!,Punctuation,10,1
!!..,Punctuation,4,1
!!...,Punctuation,1,2
!!...,Punctuation,10,2
!!<&,Punctuation,9,1
!!>,Punctuation,2,1
!!??,Punctuation,10,2
!!???,Punctuation,2,1
!!@,Punctuation,4,1
!!^^,Punctuation,8,1
!!^^,Punctuation,10,7
!!~~,Punctuation,1,1
!!~~~~,Punctuation,1,1
"!""",Punctuation,1,1
"!""///",Punctuation,2,1
!',Punctuation,5,1
!(,Punctuation,2,1
!(,Punctuation,10,2
"!,",Punctuation,2,1
!-,Punctuation,10,1
!-!,Punctuation,7,1
!-!,Punctuation,8,1
!.!,Punctuation,6,1
!...,Punctuation,1,1
!...,Punctuation,2,2
!...,Punctuation,4,1
!...,Punctuation,6,1
!...,Punctuation,9,2
!...,Punctuation,10,1
!...!!!!,Punctuation,10,1
!....,Punctuation,1,1
!?,Punctuation,2,3
!?,Punctuation,6,1
!?,Punctuation,8,1
!?,Punctuation,10,1
!?~,Punctuation,8,1
!@,Punctuation,10,1
!^^,Punctuation,9,1
!^^,Punctuation,10,3
!~,Punctuation,10,4
!~~,Punctuation,10,3
!~~*^^*,Punctuation,10,1
!’,Punctuation,1,1
!’,Punctuation,8,1
!’,Punctuation,10,2
"""",Punctuation,1,86
"""",Punctuation,2,46
"""",Punctuation,3,12
"""",Punctuation,4,39
"""",Punctuation,5,17
"""",Punctuation,6,13
"""",Punctuation,7,9
"""",Punctuation,8,9
"""",Punctuation,9,6
"""",Punctuation,10,36
"""""",Punctuation,1,1
"""""",Punctuation,2,2
"""""""",Punctuation,10,1
"""#살아있다",Hashtag,6,1
""",",Punctuation,4,1
""",,",Punctuation,1,1
"""...",Punctuation,1,1
"""...",Punctuation,2,1
"""...",Punctuation,10,2
"""<",Punctuation,2,1
#,Punctuation,1,1
#,Punctuation,2,2
#,Punctuation,3,2
#,Punctuation,4,2
#,Punctuation,5,1
#,Punctuation,6,7
####~~~^,Punctuation,1,1
###(,Punctuation,1,1
#~,Punctuation,10,1
#강동원_역시는역시다,Hashtag,9,1
#구교환_상상못한섹시함,Hashtag,9,1
#매드맥스,Hashtag,4,1
#모하비좋네,Hashtag,7,1
#몰입안되는,Hashtag,6,1
#빈지노,Hashtag,2,1
#살,Hashtag,10,1
#살아있다,Hashtag,1,2
#살아있다,Hashtag,2,3
#살아있다,Hashtag,3,2
#살아있다,Hashtag,4,2
#살아있다,Hashtag,5,3
#살아있다,Hashtag,6,1
#살아있다,Hashtag,7,3
#살아있다,Hashtag,8,4
#살아있다,Hashtag,10,6
#살아있다가,Hashtag,1,2
#살아있다가,Hashtag,2,1
#살아있다는,Hashtag,8,1
#살아있다도,Hashtag,5,1
#살아있다를,Hashtag,5,1
#살아있다를,Hashtag,10,1
#살아있다보다는,Hashtag,4,1
#살아있다보다는,Hashtag,6,1
#살아있다보단,Hashtag,10,1
