형태소,품사,분류,카운트
,Foreign,1,1
,Foreign,4,1
,Foreign,7,1
,Foreign,10,1
!,Punctuation,1,177
!,Punctuation,2,65
!,Punctuation,3,9
!,Punctuation,4,19
!,Punctuation,5,16
!,Punctuation,6,31
!,Punctuation,7,13
!,Punctuation,8,87
!,Punctuation,9,27
!,Punctuation,10,252
!!,Punctuation,1,59
!!,Punctuation,2,30
!!,Punctuation,3,1
!!,Punctuation,4,5
!!,Punctuation,5,6
!!,Punctuation,6,14
!!,Punctuation,7,2
!!,Punctuation,8,36
!!,Punctuation,9,22
!!,Punctuation,10,165
!!!,Punctuation,1,42
!!!,Punctuation,2,10
!!!,Punctuation,4,3
!!!,Punctuation,5,1
!!!,Punctuation,6,6
!!!,Punctuation,7,2
!!!,Punctuation,8,14
!!!,Punctuation,9,4
!!!,Punctuation,10,70
!!!!,Punctuation,1,18
!!!!,Punctuation,2,5
!!!!,Punctuation,4,2
!!!!,Punctuation,6,2
!!!!,Punctuation,8,1
!!!!,Punctuation,9,1
!!!!,Punctuation,10,23
"!!!!""",Punctuation,8,1
!!!!@,Punctuation,6,1
!!+_+,Punctuation,10,1
!!...,Punctuation,10,1
!!???!???,Punctuation,8,1
!!@@,Punctuation,1,1
!!^^,Punctuation,9,1
!!~,Punctuation,1,1
"!""",Punctuation,1,1
"!""",Punctuation,10,1
!#넷플릭스에,Hashtag,1,1
!#심장이,Hashtag,5,1
!',Punctuation,2,1
!(,Punctuation,1,1
!(,Punctuation,3,1
!),Punctuation,1,1
!*,Punctuation,4,1
!.,Punctuation,1,1
!..,Punctuation,8,1
!...,Punctuation,1,2
!...,Punctuation,4,1
!...,Punctuation,10,1
!?,Punctuation,1,2
!?,Punctuation,2,1
!?,Punctuation,10,1
!@!,Punctuation,10,1
!^^,Punctuation,1,1
!^^,Punctuation,10,1
!~~,Punctuation,9,1
!~~,Punctuation,10,1
!~~~,Punctuation,1,1
"""",Punctuation,1,58
"""",Punctuation,2,11
"""",Punctuation,3,7
"""",Punctuation,4,12
"""",Punctuation,5,5
"""",Punctuation,6,6
"""",Punctuation,7,3
"""",Punctuation,8,3
"""",Punctuation,10,1
""",",Punctuation,1,1
"""...",Punctuation,1,2
"""....",Punctuation,4,1
"""?",Punctuation,5,1
"""??",Punctuation,2,1
#,Punctuation,1,35
#,Punctuation,2,5
#,Punctuation,3,1
#,Punctuation,5,1
#,Punctuation,6,3
#,Punctuation,10,1
##ppl은,Hashtag,6,1
#(,Punctuation,10,1
#...,Punctuation,1,1
#10점은,Hashtag,2,1
#K,Hashtag,1,1
#ㅅㅇㅇㄷ,Hashtag,10,1
#감독때려치워야한다,Hashtag,1,1
#개연성이,Hashtag,5,1
#개인방송,Hashtag,1,1
#걍죽어라,Hashtag,1,1
#거르세요,Hashtag,1,1
#게리모드,Hashtag,6,1
#관객은,Hashtag,1,1
#그냥죽지,Hashtag,1,1
