형태소,품사,분류,카운트
!,Punctuation,1,21
!,Punctuation,2,4
!,Punctuation,3,11
!,Punctuation,4,6
!,Punctuation,5,8
!,Punctuation,6,23
!,Punctuation,7,48
!,Punctuation,8,133
!,Punctuation,9,226
!,Punctuation,10,574
!!,Punctuation,1,4
!!,Punctuation,2,1
!!,Punctuation,3,1
!!,Punctuation,4,6
!!,Punctuation,5,2
!!,Punctuation,6,4
!!,Punctuation,7,13
!!,Punctuation,8,42
!!,Punctuation,9,100
!!,Punctuation,10,349
!!!,Punctuation,1,4
!!!,Punctuation,3,1
!!!,Punctuation,4,1
!!!,Punctuation,5,4
!!!,Punctuation,6,7
!!!,Punctuation,7,4
!!!,Punctuation,8,27
!!!,Punctuation,9,40
!!!,Punctuation,10,166
!!!!,Punctuation,1,4
!!!!,Punctuation,7,1
!!!!,Punctuation,8,8
!!!!,Punctuation,9,10
!!!!,Punctuation,10,64
!!!!!,Punctuation,4,1
!!!!!,Punctuation,6,1
!!!!!,Punctuation,8,1
!!!!!,Punctuation,9,6
!!!!!,Punctuation,10,20
!!!!!!,Punctuation,7,3
!!!!!!,Punctuation,9,3
!!!!!!,Punctuation,10,13
!!!!!!!,Punctuation,7,1
!!!!!!!,Punctuation,10,8
!!!!!!!!,Punctuation,9,1
!!!!!!!!,Punctuation,10,5
!!!!!!!!!,Punctuation,9,2
!!!!!!!!!,Punctuation,10,6
!!!!!!!!!!,Punctuation,10,5
!!!!!!!!!!!,Punctuation,10,3
!!!!!!!!!!!!,Punctuation,10,2
!!!!!!!!!!!!!,Punctuation,7,1
!!!!!!!!!!!!!,Punctuation,10,3
!!!!!!!!!!!!!!,Punctuation,10,3
!!!!!!!!!!!!!!!!,Punctuation,10,3
!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,8,1
!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,9,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!.......,Punctuation,10,1
!!!!%!!,Punctuation,10,1
!!!!^*^,Punctuation,10,1
"!!!""",Punctuation,10,1
"!!!,",Punctuation,10,1
!!!><,Punctuation,10,1
!!!^^,Punctuation,9,1
!!(,Punctuation,10,1
!!),Punctuation,7,1
!!),Punctuation,8,1
!!),Punctuation,10,1
!!..,Punctuation,8,2
!!...,Punctuation,9,1
!!/,Punctuation,10,1
!!>.<,Punctuation,10,1
!!><,Punctuation,10,1
!!?,Punctuation,10,1
!!^^,Punctuation,10,3
!!~,Punctuation,10,1
!!~~,Punctuation,9,1
!',Punctuation,10,1
!(,Punctuation,8,1
!),Punctuation,8,1
"!,",Punctuation,5,1
"!,",Punctuation,10,1
!->,Punctuation,7,1
!...,Punctuation,8,2
!...,Punctuation,10,2
!:),Punctuation,10,1
!?,Punctuation,7,1
!?,Punctuation,10,1
!?....,Punctuation,8,1
!??,Punctuation,6,1
!@#$%^&*(),Punctuation,10,1
!^^,Punctuation,8,1
!^^,Punctuation,9,1
!^^,Punctuation,10,2
!^^;,Punctuation,8,1
!^_^,Punctuation,10,1
!~,Punctuation,9,1
!~!,Punctuation,10,1
!~),Punctuation,10,1
!~?!?,Punctuation,8,1
!~~~,Punctuation,9,1
"""",Punctuation,1,6
"""",Punctuation,5,5
"""",Punctuation,6,5
"""",Punctuation,7,33
"""",Punctuation,8,12
"""",Punctuation,9,11
"""",Punctuation,10,6
"""""",Punctuation,1,2
"""...",Punctuation,7,1
"#,#",Punctuation,10,1
%,Punctuation,10,1
&,Punctuation,1,1
&,Punctuation,7,1
&,Punctuation,8,4
&,Punctuation,9,1
&&,Punctuation,10,1
',Punctuation,1,8
',Punctuation,2,2
',Punctuation,3,4
',Punctuation,4,6
',Punctuation,5,16
',Punctuation,6,17
',Punctuation,7,6
',Punctuation,8,45
',Punctuation,9,28
',Punctuation,10,37
'....,Punctuation,1,1
'??,Punctuation,5,1
'_',Punctuation,10,1
(,Punctuation,1,9
(,Punctuation,2,1
(,Punctuation,3,1
(,Punctuation,4,4
(,Punctuation,5,3
(,Punctuation,6,4
(,Punctuation,7,10
(,Punctuation,8,19
(,Punctuation,9,14
(,Punctuation,10,30
(!?),Punctuation,10,1
