형태소,품사,분류,카운트
,Foreign,6,1
,Foreign,10,1
,Foreign,6,1
,Foreign,10,2
!,Punctuation,1,90
!,Punctuation,2,20
!,Punctuation,3,16
!,Punctuation,4,13
!,Punctuation,5,62
!,Punctuation,6,69
!,Punctuation,7,184
!,Punctuation,8,557
!,Punctuation,9,848
!,Punctuation,10,2342
!!,Punctuation,1,45
!!,Punctuation,2,8
!!,Punctuation,3,5
!!,Punctuation,4,7
!!,Punctuation,5,13
!!,Punctuation,6,23
!!,Punctuation,7,69
!!,Punctuation,8,215
!!,Punctuation,9,396
!!,Punctuation,10,1466
!!!,Punctuation,1,25
!!!,Punctuation,2,1
!!!,Punctuation,3,3
!!!,Punctuation,4,5
!!!,Punctuation,5,7
!!!,Punctuation,6,12
!!!,Punctuation,7,27
!!!,Punctuation,8,92
!!!,Punctuation,9,180
!!!,Punctuation,10,672
!!!!,Punctuation,1,2
!!!!,Punctuation,2,1
!!!!,Punctuation,3,2
!!!!,Punctuation,4,2
!!!!,Punctuation,6,3
!!!!,Punctuation,7,6
!!!!,Punctuation,8,33
!!!!,Punctuation,9,59
!!!!,Punctuation,10,291
!!!!',Punctuation,10,1
!!!!.,Punctuation,10,2
!!!!.!!!!.!!!!,Punctuation,10,1
!!!!.!!!.!!.!!!.!!!.!,Punctuation,10,1
!!!!...,Punctuation,10,1
!!!!@@@@,Punctuation,10,3
!!!!^^,Punctuation,8,1
!!!!^^,Punctuation,10,3
!!!!~~~~,Punctuation,8,1
!!!!~~~~,Punctuation,10,1
!!!!~~~~^-^,Punctuation,10,1
"!!!""",Punctuation,9,1
!!!',Punctuation,10,1
!!!),Punctuation,8,1
!!!),Punctuation,10,1
!!!+,Punctuation,10,1
!!!..,Punctuation,10,1
!!!...,Punctuation,8,1
!!!...,Punctuation,9,1
!!!...,Punctuation,10,1
!!!/::/,Punctuation,10,1
!!!:),Punctuation,10,1
!!!><,Punctuation,10,1
!!!?,Punctuation,1,1
!!!?,Punctuation,10,1
!!!??????,Punctuation,9,1
!!!@,Punctuation,10,1
!!!@.@,Punctuation,10,1
!!!@@!,Punctuation,9,1
!!!^-^,Punctuation,10,1
!!!^^,Punctuation,9,1
!!!^^,Punctuation,10,3
!!!^^.,Punctuation,10,2
!!!~,Punctuation,8,1
!!!~,Punctuation,10,2
!!!~~,Punctuation,10,3
!!!~~~,Punctuation,10,1
"!!""",Punctuation,9,1
!!',Punctuation,1,4
!!',Punctuation,10,1
!!(,Punctuation,1,1
!!(,Punctuation,10,3
!!),Punctuation,10,1
"!!,!,!/&/",Punctuation,10,1
!!-,Punctuation,1,1
!!.,Punctuation,9,1
!!..,Punctuation,9,1
!!...,Punctuation,9,2
!!...,Punctuation,10,4
!!:),Punctuation,10,1
!!?,Punctuation,10,1
!!??,Punctuation,8,1
!!??,Punctuation,10,1
!!@,Punctuation,9,1
!!@,Punctuation,10,1
!!@@,Punctuation,10,1
!!^,Punctuation,10,1
!!^-,Punctuation,10,1
!!^----^,Punctuation,10,1
!!^^,Punctuation,9,4
!!^^,Punctuation,10,8
!!^^...,Punctuation,7,1
!!^^^,Punctuation,6,1
!!^^~,Punctuation,9,1
!!^^~~,Punctuation,10,1
!!^_^,Punctuation,10,2
!!~,Punctuation,10,2
!!~...,Punctuation,5,1
!!~~,Punctuation,10,1
!!~~!!~~!!,Punctuation,10,1
!!~~^^,Punctuation,9,1
!!~~^^,Punctuation,10,1
!!~~~~,Punctuation,10,1
!!~~~~^^,Punctuation,10,1
"!""",Punctuation,5,1
"!""",Punctuation,8,1
"!""",Punctuation,9,1
"!""",Punctuation,10,2
!#!,Punctuation,9,1
!&...,Punctuation,7,1
!',Punctuation,9,2
!',Punctuation,10,2
!(,Punctuation,4,1
!(,Punctuation,7,1
!(,Punctuation,9,1
!(,Punctuation,10,1
!)+,Punctuation,8,1
!+,Punctuation,10,1
"!,",Punctuation,8,3
"!,",Punctuation,10,2
!-,Punctuation,1,1
!-!,Punctuation,10,1
!.,Punctuation,7,1
!.,Punctuation,10,1
"!.,",Punctuation,10,1
!..,Punctuation,1,1
!..,Punctuation,5,1
!..,Punctuation,9,2
!..,Punctuation,10,2
!...,Punctuation,8,4
!...,Punctuation,9,3
!...,Punctuation,10,6
!....,Punctuation,9,1
!/!/!!!~,Punctuation,10,1
!:),Punctuation,8,1
!;;;,Punctuation,6,1
!?,Punctuation,1,1
!?,Punctuation,7,1
!?,Punctuation,8,4
!?,Punctuation,9,1
!?,Punctuation,10,3
!?!,Punctuation,10,1
!?!?!?,Punctuation,1,1
!?!?!?!!@,Punctuation,10,1
!?%+,Punctuation,8,1
!?...;,Punctuation,1,1
!??!?!?!?,Punctuation,10,1
!???,Punctuation,5,1
!?^^,Punctuation,8,1
!@,Punctuation,10,1
!@!#!#$!$!@!$!,Punctuation,10,1
!@#~/^&**,Punctuation,10,1
!@@,Punctuation,10,1
!^&^,Punctuation,9,1
!^-^,Punctuation,10,2
!^^,Punctuation,1,1
!^^,Punctuation,7,1
!^^,Punctuation,8,2
!^^,Punctuation,9,2
!^^,Punctuation,10,3
!^~~~!!,Punctuation,10,1
!~,Punctuation,1,4
!~,Punctuation,10,3
!~!,Punctuation,8,1
!~!,Punctuation,10,1
!~!!!,Punctuation,9,1
!~!~!,Punctuation,10,1
!~!~!!~!~!~!~!~~!,Punctuation,10,1
